SpAcctSort,common_name,CommonName2025,4lettercode2023,BlockDetections,BreedingPhenology,BreedingEvidence,ChangeMap,EstimatedDensity
1,Canada Goose,Canada Goose,CANG,Table_10.1.1,Chart_10.1.1,Map_10.1.1,Map_10.1.2,Map_10.1.3
2,Mute Swan,Mute Swan,MUSW,Table_10.2.1,Chart_10.2.1,Map_10.2.1,Map_10.2.2,Map_10.2.3
3,Trumpeter Swan,Trumpeter Swan,TRUS,Table_10.3.1,Chart_10.3.1,Map_10.3.1,Map_10.3.2,Map_10.3.3
4,Wood Duck,Wood Duck,WODU,Table_10.4.1,Chart_10.4.1,Map_10.4.1,Map_10.4.2,Map_10.4.3
5,Blue-winged Teal,Blue-winged Teal,BWTE,Table_10.5.1,Chart_10.5.1,Map_10.5.1,Map_10.5.2,Map_10.5.3
6,Northern Shoveler,Northern Shoveler,NSHO,Table_10.6.1,Chart_10.6.1,Map_10.6.1,Map_10.6.2,Map_10.6.3
7,Gadwall,Gadwall,GADW,Table_10.7.1,Chart_10.7.1,Map_10.7.1,Map_10.7.2,Map_10.7.3
8,American Wigeon,American Wigeon,AMWI,Table_10.8.1,Chart_10.8.1,Map_10.8.1,Map_10.8.2,Map_10.8.3
9,Mallard,Mallard,MALL,Table_10.9.1,Chart_10.9.1,Map_10.9.1,Map_10.9.2,Map_10.9.3
10,American Black Duck,American Black Duck,ABDU,Table_10.10.1,Chart_10.10.1,Map_10.10.1,Map_10.10.2,Map_10.10.3
11,Northern Pintail,Northern Pintail,NOPI,Table_10.11.1,Chart_10.11.1,Map_10.11.1,Map_10.11.2,Map_10.11.3
12,Green-winged Teal,Green-winged Teal,GWTE,Table_10.12.1,Chart_10.12.1,Map_10.12.1,Map_10.12.2,Map_10.12.3
13,Canvasback,Canvasback,CANV,Table_10.13.1,Chart_10.13.1,Map_10.13.1,Map_10.13.2,Map_10.13.3
14,Redhead,Redhead,REDH,Table_10.14.1,Chart_10.14.1,Map_10.14.1,Map_10.14.2,Map_10.14.3
15,Ring-necked Duck,Ring-necked Duck,RNDU,Table_10.15.1,Chart_10.15.1,Map_10.15.1,Map_10.15.2,Map_10.15.3
16,Lesser Scaup,Lesser Scaup,LESC,Table_10.16.1,Chart_10.16.1,Map_10.16.1,Map_10.16.2,Map_10.16.3
17,Bufflehead,Bufflehead,BUFF,Table_10.17.1,Chart_10.17.1,Map_10.17.1,Map_10.17.2,Map_10.17.3
18,Common Goldeneye,Common Goldeneye,COGO,Table_10.18.1,Chart_10.18.1,Map_10.18.1,Map_10.18.2,Map_10.18.3
19,Hooded Merganser,Hooded Merganser,HOME,Table_10.19.1,Chart_10.19.1,Map_10.19.1,Map_10.19.2,Map_10.19.3
20,Common Merganser,Common Merganser,COME,Table_10.20.1,Chart_10.20.1,Map_10.20.1,Map_10.20.2,Map_10.20.3
21,Red-breasted Merganser,Red-breasted Merganser,RBME,Table_10.21.1,Chart_10.21.1,Map_10.21.1,Map_10.21.2,Map_10.21.3
22,Ruddy Duck,Ruddy Duck,RUDU,Table_10.22.1,Chart_10.22.1,Map_10.22.1,Map_10.22.2,Map_10.22.3
23,Northern Bobwhite,Northern Bobwhite,NOBO,Table_10.23.1,Chart_10.23.1,Map_10.23.1,Map_10.23.2,Map_10.23.3
24,Wild Turkey,Wild Turkey,WITU,Table_10.24.1,Chart_10.24.1,Map_10.24.1,Map_10.24.2,Map_10.24.3
25,Ruffed Grouse,Ruffed Grouse,RUGR,Table_10.25.1,Chart_10.25.1,Map_10.25.1,Map_10.25.2,Map_10.25.3
26,Sharp-tailed Grouse,Sharp-tailed Grouse,STGR,Table_10.26.1,Chart_10.26.1,Map_10.26.1,Map_10.26.2,Map_10.26.3
27,Greater Prairie-Chicken,Greater Prairie-Chicken,GRPC,Table_10.27.1,Chart_10.27.1,Map_10.27.1,Map_10.27.2,Map_10.27.3
28,Spruce Grouse,Spruce Grouse,SPGR,Table_10.28.1,Chart_10.28.1,Map_10.28.1,Map_10.28.2,Map_10.28.3
29,Gray Partridge,Gray Partridge,GRAP,Table_10.29.1,Chart_10.29.1,Map_10.29.1,Map_10.29.2,Map_10.29.3
30,Ring-necked Pheasant,Ring-necked Pheasant,RNEP,Table_10.30.1,Chart_10.30.1,Map_10.30.1,Map_10.30.2,Map_10.30.3
31,Rock Pigeon,Rock Pigeon,ROPI,Table_10.31.1,Chart_10.31.1,Map_10.31.1,Map_10.31.2,Map_10.31.3
32,Eurasian Collared-Dove,Eurasian Collared-Dove,EUCD,Table_10.32.1,Chart_10.32.1,Map_10.32.1,Map_10.32.2,Map_10.32.3
33,White-winged Dove,White-winged Dove,WWDO,Table_10.33.1,Chart_10.33.1,Map_10.33.1,Map_10.33.2,Map_10.33.3
34,Mourning Dove,Mourning Dove,MODO,Table_10.34.1,Chart_10.34.1,Map_10.34.1,Map_10.34.2,Map_10.34.3
35,Yellow-billed Cuckoo,Yellow-billed Cuckoo,YBCU,Table_10.35.1,Chart_10.35.1,Map_10.35.1,Map_10.35.2,Map_10.35.3
36,Black-billed Cuckoo,Black-billed Cuckoo,BBCU,Table_10.36.1,Chart_10.36.1,Map_10.36.1,Map_10.36.2,Map_10.36.3
37,Common Nighthawk,Common Nighthawk,CONI,Table_10.37.1,Chart_10.37.1,Map_10.37.1,Map_10.37.2,Map_10.37.3
38,Chuck-will's-widow,Chuck-will's-widow,CWWI,Table_10.38.1,Chart_10.38.1,Map_10.38.1,Map_10.38.2,Map_10.38.3
39,Eastern Whip-poor-will,Eastern Whip-poor-will,EWPW,Table_10.39.1,Chart_10.39.1,Map_10.39.1,Map_10.39.2,Map_10.39.3
40,Chimney Swift,Chimney Swift,CHSW,Table_10.40.1,Chart_10.40.1,Map_10.40.1,Map_10.40.2,Map_10.40.3
41,Ruby-throated Hummingbird,Ruby-throated Hummingbird,RTHU,Table_10.41.1,Chart_10.41.1,Map_10.41.1,Map_10.41.2,Map_10.41.3
42,King Rail,King Rail,KIRA,Table_10.42.1,Chart_10.42.1,Map_10.42.1,Map_10.42.2,Map_10.42.3
43,Virginia Rail,Virginia Rail,VIRA,Table_10.43.1,Chart_10.43.1,Map_10.43.1,Map_10.43.2,Map_10.43.3
44,Sora,Sora,SORA,Table_10.44.1,Chart_10.44.1,Map_10.44.1,Map_10.44.2,Map_10.44.3
45,Common Gallinule,Common Gallinule,COGA,Table_10.45.1,Chart_10.45.1,Map_10.45.1,Map_10.45.2,Map_10.45.3
46,American Coot,American Coot,AMCO,Table_10.46.1,Chart_10.46.1,Map_10.46.1,Map_10.46.2,Map_10.46.3
47,Yellow Rail,Yellow Rail,YERA,Table_10.47.1,Chart_10.47.1,Map_10.47.1,Map_10.47.2,Map_10.47.3
48,Sandhill Crane,Sandhill Crane,SACR,Table_10.48.1,Chart_10.48.1,Map_10.48.1,Map_10.48.2,Map_10.48.3
49,Whooping Crane,Whooping Crane,WHCR,Table_10.49.1,Chart_10.49.1,Map_10.49.1,Map_10.49.2,Map_10.49.3
50,Black-necked Stilt,Black-necked Stilt,BNST,Table_10.50.1,Chart_10.50.1,Map_10.50.1,Map_10.50.2,Map_10.50.3
51,Killdeer,Killdeer,KILL,Table_10.51.1,Chart_10.51.1,Map_10.51.1,Map_10.51.2,Map_10.51.3
52,Piping Plover,Piping Plover,PIPL,Table_10.52.1,Chart_10.52.1,Map_10.52.1,Map_10.52.2,Map_10.52.3
53,Upland Sandpiper,Upland Sandpiper,UPSA,Table_10.53.1,Chart_10.53.1,Map_10.53.1,Map_10.53.2,Map_10.53.3
54,American Woodcock,American Woodcock,AMWO,Table_10.54.1,Chart_10.54.1,Map_10.54.1,Map_10.54.2,Map_10.54.3
55,Wilson's Snipe,Wilson's Snipe,WISN,Table_10.55.1,Chart_10.55.1,Map_10.55.1,Map_10.55.2,Map_10.55.3
56,Wilson's Phalarope,Wilson's Phalarope,WIPH,Table_10.56.1,Chart_10.56.1,Map_10.56.1,Map_10.56.2,Map_10.56.3
57,Spotted Sandpiper,Spotted Sandpiper,SPSA,Table_10.57.1,Chart_10.57.1,Map_10.57.1,Map_10.57.2,Map_10.57.3
58,Laughing Gull,Laughing Gull,LAGU,Table_10.58.1,Chart_10.58.1,Map_10.58.1,Map_10.58.2,Map_10.58.3
59,Ring-billed Gull,Ring-billed Gull,RBGU,Table_10.59.1,Chart_10.59.1,Map_10.59.1,Map_10.59.2,Map_10.59.3
60,Herring Gull,American Herring Gull,HERG,Table_10.60.1,Chart_10.60.1,Map_10.60.1,Map_10.60.2,Map_10.60.3
61,Caspian Tern,Caspian Tern,CATE,Table_10.61.1,Chart_10.61.1,Map_10.61.1,Map_10.61.2,Map_10.61.3
62,Black Tern,Black Tern,BLTE,Table_10.62.1,Chart_10.62.1,Map_10.62.1,Map_10.62.2,Map_10.62.3
63,Forster's Tern,Forster's Tern,FOTE,Table_10.63.1,Chart_10.63.1,Map_10.63.1,Map_10.63.2,Map_10.63.3
64,Common Tern,Common Tern,COTE,Table_10.64.1,Chart_10.64.1,Map_10.64.1,Map_10.64.2,Map_10.64.3
65,Pied-billed Grebe,Pied-billed Grebe,PBGR,Table_10.65.1,Chart_10.65.1,Map_10.65.1,Map_10.65.2,Map_10.65.3
66,Horned Grebe,Horned Grebe,HOGR,Table_10.66.1,Chart_10.66.1,Map_10.66.1,Map_10.66.2,Map_10.66.3
67,Red-necked Grebe,Red-necked Grebe,RNGR,Table_10.67.1,Chart_10.67.1,Map_10.67.1,Map_10.67.2,Map_10.67.3
68,Eared Grebe,Eared Grebe,EAGR,Table_10.68.1,Chart_10.68.1,Map_10.68.1,Map_10.68.2,Map_10.68.3
69,Common Loon,Common Loon,COLO,Table_10.69.1,Chart_10.69.1,Map_10.69.1,Map_10.69.2,Map_10.69.3
70,Double-crested Cormorant,Double-crested Cormorant,DCCO,Table_10.70.1,Chart_10.70.1,Map_10.70.1,Map_10.70.2,Map_10.70.3
71,Glossy Ibis,Glossy Ibis,GLIB,Table_10.71.1,Chart_10.71.1,Map_10.71.1,Map_10.71.2,Map_10.71.3
72,American Bittern,American Bittern,AMBI,Table_10.72.1,Chart_10.72.1,Map_10.72.1,Map_10.72.2,Map_10.72.3
73,Least Bittern,Least Bittern,LEBI,Table_10.73.1,Chart_10.73.1,Map_10.73.1,Map_10.73.2,Map_10.73.3
