Species,Code,Beginning E date,Beginning B date,Ending B date,Ending E date
Canada Goose,CANG,3/8/2018,5/2/2018,8/2/2018,8/16/2018
Mute Swan,MUSW,3/16/2018,5/9/2018,8/9/2018,9/25/2018
Trumpeter Swan,TRUS,4/2/2018,5/9/2018,8/9/2018,9/2/2018
Wood Duck,WODU,4/16/2018,5/2/2018,8/2/2018,9/2/2018
Gadwall,GADW,5/16/2018,6/2/2018,8/2/2018,8/16/2018
American Wigeon,AMWI,5/16/2018,5/25/2018,8/2/2018,8/16/2018
American Black Duck,ABDU,5/2/2018,5/16/2018,8/2/2018,8/16/2018
Mallard,MALL,3/16/2018,5/2/2018,8/2/2018,9/16/2018
Blue-winged Teal,BWTE,4/16/2018,5/25/2018,8/2/2018,9/2/2018
Northern Shoveler,NSHO,5/16/2018,5/25/2018,8/2/2018,9/2/2018
Northern Pintail,NOPI,5/16/2018,5/25/2018,8/2/2018,8/16/2018
Green-winged Teal,GWTE,5/16/2018,6/2/2018,8/2/2018,8/16/2018
Canvasback,CANV,5/25/2018,6/9/2018,8/2/2018,8/16/2018
Redhead,REDH,5/25/2018,6/9/2018,8/2/2018,8/16/2018
Ring-necked Duck,RNDU,5/2/2018,6/16/2018,8/2/2018,8/16/2018
Lesser Scaup,LESC,5/25/2018,7/10/2018,7/11/2018,7/25/2018
Bufflehead,BUFF,6/2/2018,6/9/2018,8/2/2018,9/2/2018
Common Goldeneye,COGO,5/25/2018,6/9/2018,8/2/2018,8/16/2018
Hooded Merganser,HOME,3/25/2018,5/9/2018,8/2/2018,9/16/2018
Common Merganser,COME,5/16/2018,6/2/2018,8/2/2018,8/25/2018
Red-breasted Merganser,RBME,5/16/2018,6/16/2018,8/2/2018,9/2/2018
Ruddy Duck,RUDU,5/25/2018,6/9/2018,8/2/2018,9/2/2018
Northern Bobwhite,NOBO,5/2/2018,5/9/2018,9/2/2018,10/2/2018
Gray Partridge,GRPA,4/16/2018,4/25/2018,8/16/2018,9/2/2018
Ring-necked Pheasant,RNEP,3/16/2018,5/2/2018,8/16/2018,9/9/2018
Ruffed Grouse,RUGR,3/16/2018,4/25/2018,8/16/2018,9/2/2018
Spruce Grouse,SPGR,3/16/2018,4/2/2018,8/9/2018,8/25/2018
