GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS292275346	2015-01-21 10:55:28	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	H 	C2		United States	US	Wisconsin	US-WI	Adams	US-WI-001	US-WI_3647	23		4308987SW	Adams SW	L3208056	P	43.8958352	-89.8437500	1995-06-20		obsr14774	S21445352	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 355; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292274739	2015-01-21 10:55:28	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	CN	C4		United States	US	Wisconsin	US-WI	Adams	US-WI-001	US-WI_3647	23		4308977NW	Easton NW	L3207998	P	43.8541686	-89.8437500	1995-06-29		obsr14774	S21445302	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 366; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292274703	2018-08-05 12:01:29	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	H 	C2		United States	US	Wisconsin	US-WI	Adams	US-WI-001		23		4408916NE	Coloma SW NE	L3208363	P	44.1041685	-89.6562500	1995-06-28		obsr14774	S21445301	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 362; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292275367	2015-01-21 10:55:28	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	FL	C4		United States	US	Wisconsin	US-WI	Adams	US-WI-001		23		4308976CE	Brooks CE	L3207946	P	43.8125019	-89.6562500	1995-07-21		obsr14774	S21445356	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 356; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292274799	2018-08-05 12:01:29	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	S7	C3		United States	US	Wisconsin	US-WI	Adams	US-WI-001	US-WI_3650	23		4408926CE	Coloma NW CE	L3208496	P	44.1875019	-89.6562500	1995-07-05		obsr14774	S21445304	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 359; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292275120	2017-08-16 00:54:31	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	S7	C3		United States	US	Wisconsin	US-WI	Adams	US-WI-001		23		4308966CE	Big Spring CE	L3207777	P	43.6875019	-89.6562500	1995-07-11		obsr14774	S21445332	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 361; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292275232	2017-08-16 00:54:45	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	FY	C4		United States	US	Wisconsin	US-WI	Adams	US-WI-001		23		4408927CE	Arkdale NE CE	L3208494	P	44.1875019	-89.7812500	1995-07-18		obsr14774	S21445341	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 358; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292275062	2015-01-21 10:55:28	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	S7	C3		United States	US	Wisconsin	US-WI	Adams	US-WI-001		23		4408917CE	Roche A Cri CE	L3208299	P	44.0625019	-89.7812500	1995-07-10		obsr14774	S21445328	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Christopher Wood; CARD NUMBER: 363; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292387908	2017-08-16 00:54:08	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	S7	C3		United States	US	Wisconsin	US-WI	Ashland	US-WI-003		12		4609058CE	Ashland West CE	L3212556	P	46.5625016	-90.9062500	1995-06-06		obsr33251	S21466406	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Dick Verch; CARD NUMBER: 820; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
URN:CornellLabOfOrnithology:EBIRD:OBS292388189	2018-08-05 12:01:28	3142	species	Black-billed Cuckoo	Coccyzus erythropthalmus			X	H 	C2		United States	US	Wisconsin	US-WI	Ashland	US-WI-003		12		4609057CE	Ashland East CE	L3212557	P	46.5625016	-90.7812500	1995-06-17		obsr33251	S21466467	Historical	P62	EBIRD_ATL_WI					0		0	1	0		OBSERVER: Dick Verch; CARD NUMBER: 301; Data from the first Wisconsin Breeding Bird Atlas (1995-2000). Matched to observer accounts and uploaded 15 Jan 2015 by Marshall Iliff in consultation with Nick Anich. If you wish to edit these records, or have a correction, please contact atlas AT wsobirds.org		
