Species,H,S,S7,M,P,T,C,N,A,B,PE,CN,NB,DD,UN,ON,FL,CF,FY,FS,NE,NY
Canada Goose,2,4,4,4,2,2,2,1,2,4,3,3,2,4,2,1,1,4,4,4,2,3
Mute Swan,2,4,4,4,2,2,2,3,2,4,3,3,2,4,3,1,1,4,4,4,2,3
Trumpeter Swan,2,4,4,4,2,2,2,1,2,4,3,3,2,4,3,1,1,4,4,4,2,3
Wood Duck,1,4,4,4,2,2,2,1,2,4,3,4,4,3,2,2,1,4,4,4,2,3
Gadwall,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,2,2,4,4,4,3,3
American Wigeon,3,4,4,4,3,3,3,3,3,4,3,3,3,3,4,2,2,4,4,4,3,3
American Black Duck,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,2,2,4,4,4,3,3
Mallard,1,4,4,4,2,2,2,1,2,4,3,3,2,3,3,1,1,4,4,4,2,3
Blue-winged Teal,2,4,4,4,2,2,2,3,2,4,3,3,2,3,4,1,1,4,4,4,2,3
Northern Shoveler,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,2,2,4,4,4,3,3
Northern Pintail,3,4,4,4,2,3,3,3,3,4,3,3,3,3,4,2,2,4,4,4,3,3
Green-winged Teal,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,2,2,4,4,4,3,3
Canvasback,3,4,4,4,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4,3,3
Redhead,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,1,1,4,4,4,2,3
Ring-necked Duck,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,1,1,4,4,4,2,3
Lesser Scaup,3,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,3,4,4,4,3,3
Black Scoter,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,3,3,4,4,4,3,3
Bufflehead,3,4,4,4,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,4,3,3
Common Goldeneye,2,4,4,4,2,3,3,2,3,4,3,4,4,3,4,3,1,4,4,4,3,3
Hooded Merganser,2,4,4,4,2,2,2,1,2,4,3,4,4,3,3,2,1,4,4,4,2,3
Common Merganser,2,4,4,4,2,2,2,2,2,4,3,4,4,3,4,2,1,4,4,4,3,3
Red-breasted Merganser,2,4,4,4,2,3,3,3,2,4,3,4,4,3,4,3,1,4,4,4,3,3
Ruddy Duck,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,2,1,4,4,4,2,3
Northern Bobwhite,2,1,1,3,1,3,3,3,3,4,3,3,3,3,4,1,1,4,4,4,1,3
Gray Partridge,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,1,1,4,4,4,1,3
Ring-necked Pheasant,2,1,1,2,1,1,2,3,2,4,3,4,4,3,3,1,1,4,4,4,1,3
Ruffed Grouse,1,4,4,4,3,3,1,3,1,4,3,4,3,2,4,1,1,4,4,4,1,3
Spruce Grouse,2,3,3,3,3,3,1,3,3,4,3,4,3,3,4,1,1,4,4,4,1,3
Sharp-tailed Grouse,2,2,2,2,3,3,1,3,3,4,3,3,3,3,4,1,1,4,4,4,1,3
Greater Prairie-Chicken,2,2,2,2,3,3,1,3,3,4,3,3,3,3,4,1,1,4,4,4,1,3
Wild Turkey,1,1,1,1,3,2,1,3,3,4,3,4,3,4,3,1,1,4,4,4,1,3
Common Loon,1,1,1,3,1,1,1,1,2,4,3,3,2,4,3,1,1,4,1,4,2,3
Pied-billed Grebe,1,1,1,3,2,2,2,2,3,4,3,3,1,4,4,1,1,4,1,4,2,3
Horned Grebe,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,4,3,3
Red-necked Grebe,3,2,2,3,2,2,2,2,3,4,4,3,2,4,4,1,1,4,1,4,2,3
Eared Grebe,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,4,3,3
Western Grebe,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,4,3,3
Double-crested Cormorant,3,4,4,4,3,3,3,3,3,4,3,1,1,4,3,1,3,4,3,4,1,1
American White Pelican,3,4,4,4,3,3,3,3,3,4,3,4,3,4,4,1,3,4,3,4,1,1
American Bittern,1,1,1,2,3,3,3,3,3,4,3,3,3,4,4,1,2,4,3,4,2,2
Least Bittern,1,1,1,2,3,3,3,3,3,4,3,1,2,4,4,1,1,4,3,4,2,2
Great Blue Heron,3,4,4,4,4,4,3,2,4,4,4,2,1,4,3,1,3,4,3,4,2,1
Great Egret,3,4,4,4,4,4,2,3,4,4,4,2,1,4,4,1,3,4,3,4,2,1
Snowy Egret,3,4,4,4,3,4,3,3,4,4,4,3,3,4,4,3,3,4,3,4,3,3
Little Blue Heron,4,4,4,4,3,4,3,3,4,4,4,3,3,4,4,3,3,4,3,4,3,3
Cattle Egret,3,4,4,4,3,3,3,3,4,4,4,3,3,4,4,3,3,4,3,4,3,3
Green Heron,1,2,2,3,1,2,1,2,2,4,4,1,1,4,3,1,2,4,3,4,1,1
